Subject ;Subject_sex;Presentation_day;Pairing_Day ;Dayhour ;Time;Code;Event ;Dungfrom;Dung_sex;Pairing_sex
Qaphela ;f;1;1;17:11:00;0:00:09;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;18:38:00;0:00:06;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;21:00:00;0:00:05;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;21:01:00;0:00:06;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;21:10:00;0:00:16;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;23:07:00;0:00:15;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;23:10:00;0:00:01;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;23:32:00;0:00:01;Sniff;state;Billie;f;ff
Qaphela ;f;1;1;5:59:00;0:00:01;Sniff;state;Billie;f;ff
Qaphela ;f;2;2;14:31:00;0:00:04;Sniff;state;Billie;f;ff
Qaphela ;f;2;2;17:05:00;0:00:06;Sniff;state;Billie;f;ff
Qaphela ;f;2;2;17:21:00;0:00:02;Sniff;state;Billie;f;ff
Qaphela ;f;2;2;17:25:00;0:00:03;Sniff;state;Billie;f;ff
Qaphela ;f;2;2;19:39:00;0:00:03;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;12:21:00;0:00:01;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;16:44:00;0:00:03;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;21:11:00;0:00:14;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;21:12:00;;Poop;point;Billie;f;ff
Qaphela ;f;3;3;21:12:00;;Scrap;point;Billie;f;ff
Qaphela ;f;3;3;21:20:00;0:00:01;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;23:09:00;0:00:03;Sniff;state;Billie;f;ff
Qaphela ;f;3;3;23:12:00;0:00:01;Sniff;state;Billie;f;ff
Mafukuzela;f;1;1;13:36:00;;Poop;point;Nsele;m;fm
Mafukuzela;f;1;1;17:20:00;0:00:09;Sniff;state;Nsele;m;fm
Mafukuzela;f;1;1;21:34:00;0:00:09;Sniff;state;Nsele;m;fm
Mafukuzela;f;2;2;14:00:00;0:00:04;Sniff;state;Nsele;m;fm
Mafukuzela;f;2;2;15:48:00;0:00:01;Sniff;state;Nsele;m;fm
Mafukuzela;f;2;2;15:56:00;0:00:05;Sniff;state;Nsele;m;fm
Mafukuzela;f;2;2;16:03:00;0:00:06;Sniff;state;Nsele;m;fm
Mafukuzela;f;2;2;17:23:00;0:00:03;Sniff;state;Nsele;m;fm
Mafukuzela;f;3;3;17:19:00;0:00:01;Sniff;state;Nsele;m;fm
Mafukuzela;f;3;3;17:20:00;;Poop;point;Nsele;m;fm
Mafukuzela;f;3;3;19:13:00;0:00:01;Sniff;state;Nsele;m;fm
Mshanelo;m;1;1;17:50:00;0:00:06;Sniff;state;FatAmy;f;mf
Mshanelo;m;1;1;18:00:00;0:00:10;Sniff;state;FatAmy;f;mf
Mshanelo;m;1;1;21:32:00;;Poop;point;FatAmy;f;mf
Mshanelo;m;1;1;21:32:00;;Scrap;point;FatAmy;f;mf
Mshanelo;m;1;1;23:58:00;0:00:02;Sniff;state;FatAmy;f;mf
Mshanelo;m;1;1;0:00:00;;Poop;point;FatAmy;f;mf
Mshanelo;m;1;1;0:00:00;;Scrap;point;FatAmy;f;mf
