Column1;Row.names;short_id;date2;rhino;species;sample_type;rhino_sex;rhino_origin;rhino_age;sample_id;days_boma;dw;pairing_day;day_exp;dung_rhino;dung_sex;dung_origin;pairing_sex;pairing_origin;pairing_id; 6-Methyl-2-heptanone; Cyclosativene;(-)-?-Citronellene;1,3-Hexadiene, 3-ethyl-2,5-dimethyl-;1,5,9-Decatriene, 2,3,5,8-tetramethyl-;1,6-Octadiene, 5,7-dimethyl-;1,7-Dimethyl-4-(1-methylethyl)cyclodecane;1-Hexadecanol;2,2-Diethylacetamide;2,6-Dimethyldecane-;2- Octene(Z)-;2-Octene, 3,7,-dimethyl-, (Z)-;4-Nonanone, 7-ethyl-;4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,7-octahydronaphtalane;5-Hepten-2-one, 6-methyl-;9,12-Tetradecadien-1-ol, (Z,E)-;Aromandendrene;Caryophyllene;Copaene;Decane;Decane, 2,6,6-trimethyl-;Dodecane;Ethane, 1,1-diethoxy-;Ethylbenzene;Farnesan;Humulene;Isobutyl isothiocyanate;Mesitylene;Nonadecane;Octadecane;Tetradecane;Tridecane;Undecane;cis-Verbenyl acetate ;n-Hexadecanoic acid;p-Menthen-2-ol;?-Muurolene;shannon_diversity;rhino_ordered
11;BiJo10;BiJo10;9/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-38;38;9213;1;10;Joko;f;Ithala;ff;Th_It;Bil_Joko;0;2.27079E+14;0;2.14346E+14;3.23558E+14;0;0;0;0;0;0;9.9227E+14;1.92053E+14;9.73897E+14;0;1.51806E+14;1.53985E+14;4.72335E+14;5.3326E+14;0;0;8.28887E+14;0;0;0;4.19568E+14;4.00278E+14;8.48412E+14;0;0;1.61624E+14;5.0874E+14;4.17801E+14;0;0;7.96978E+13;2.31026E+14;2.32812E+14;Billie
12;BiJo11;BiJo11;10/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-39;39;10735;2;11;Joko;f;Ithala;ff;Th_It;Bil_Joko;0;4.04498E+14;0;1.6261E+14;1.71915E+14;0;0;0;0;0;0;7.93416E+14;2.05569E+14;0;0;9.59841E+14;0;1.16676E+14;1.48531E+13;7.54146E+14;0;2.73181E+14;1.27661E+14;3.45349E+14;1.15516E+14;9.89061E+14;7.63769E+14;8.01846E+13;7.93438E+14;0;1.05151E+14;2.12771E+14;2.51508E+14;0;0;6.31451E+14;0;2.63516E+14;Billie
13;BiJo12;BiJo12;11/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-40;40;9749;3;12;Joko;f;Ithala;ff;Th_It;Bil_Joko;0;7.95618E+14;1.07199E+14;1.05894E+14;2.12471E+13;0;0;0;0;0;0;9.01466E+14;1.95085E+14;0;0;1.16716E+14;0;1.68664E+14;1.8745E+14;0;0;3.54903E+14;0;0;0;1.68041E+14;1.01478E+14;1.22034E+14;9.12667E+14;0;1.32514E+14;2.945E+14;5.23947E+14;0;0;4.65468E+13;2.0179E+14;2.56083E+14;Billie
14;BiMa16;BiMa16;15/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-44;44;9229;1;16;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu;0;8.52868E+14;0;1.64562E+14;2.43543E+14;1.89086E+14;0;0;1.00589E+14;0;0;7.99318E+14;2.32623E+14;8.19657E+13;0;2.37945E+14;5.69397E+14;1.25375E+14;2.07726E+14;9.79766E+14;0;3.60627E+14;1.27022E+14;0;7.54931E+14;1.1854E+14;0;5.5907E+14;1.41136E+14;0;7.81366E+14;1.752E+14;2.31725E+14;0;9.93912E+14;1.77464E+14;1.18495E+14;2.74598E+14;Billie
15;BiMa17;BiMa17;16/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-45;45;799;2;17;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu;0;1.03713E+14;113989291;1.5702E+14;2.9475E+14;0;0;0;0;0;0;7.15948E+14;4.33919E+14;9.74403E+14;0;1.73647E+14;0;1.53488E+14;2.17913E+14;1.16874E+14;0;8.2327E+14;0;0;0;1.52291E+14;0;3.0997E+14;0;0;1.55131E+14;4.1594E+13;3.8432E+14;0;2.71586E+14;0;1.71648E+14;2.54124E+14;Billie
16;BiMa18;BiMa18;17/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-46;46;8673;3;18;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu;0;1.22948E+14;0;3.06124E+14;3.26379E+14;3.48529E+14;0;0;0;3.72121E+14;2.51592E+14;1.06653E+14;3.74429E+14;1.12785E+14;0;1.9298E+13;8.18153E+14;2.12805E+14;2.56398E+14;1.40388E+14;2.06005E+14;7.08957E+14;0;2.20859E+14;8.92142E+14;2.1435E+14;8.63015E+14;7.46184E+13;0;0;1.43599E+14;3.33856E+14;4.06671E+14;0;2.26253E+14;2.96377E+14;2.11345E+14;2.85988E+14;Billie
17;BiMs7;BiMs7;6/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-35;35;8698;1;7;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha;0;1.66074E+14;7.668E+14;1.5886E+14;1.39769E+14;0;0;0;0;0;0;3.6071E+14;1.25935E+13;0;0;1.20925E+14;0;4.08297E+14;5.39645E+14;1.31752E+14;0;1.97004E+14;5.42745E+14;0;1.13878E+14;0;4.7652E+14;3.082E+14;0;1.15026E+14;9.3643E+14;1.58314E+14;1.86187E+14;0;1.03666E+13;3.39904E+14;0;2.80077E+14;Billie
18;BiMs8;BiMs8;7/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-36;36;1197;2;8;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha;0;5.28191E+14;1.7706E+14;2.29831E+14;1.49064E+14;3.11168E+14;0;0;0;0;0;2.84487E+14;1.04697E+14;0;0;8.01601E+14;0;6.72994E+14;1.45748E+14;0;0;1.75802E+14;0;0;0;5.11439E+14;1.52046E+14;1.89839E+14;0;0;7.28482E+14;1.17509E+14;1.49578E+13;0;0;0;0;2.37507E+13;Billie
19;BiMs9;BiMs9;8/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-37;37;10083;3;9;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha;0;1.27022E+14;1.90922E+14;1.39342E+14;1.99441E+14;1.65658E+14;0;0;0;0;0;8.42015E+14;1.96055E+14;5.72317E+14;0;6.70708E+14;0;2.4574E+14;2.61075E+14;0;0;4.4311E+14;3.74377E+14;0;0;2.12861E+14;1.23789E+14;3.77443E+14;0;0;1.06066E+14;3.02072E+14;2.73173E+14;0;0;3.93707E+14;1.19316E+14;2.51835E+14;Billie
20;BiNd1;BiNd1;31/7/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-29;29;9402;1;1;Ndlebe;f;Somkhanda;ff;Th_So;Bil_Ndle;0;9.96013E+14;0;4.66471E+14;2.1075E+14;0;0;0;0;1.02622E+14;0;3.29896E+14;0;0;0;5.28953E+14;1.03688E+14;2.12882E+14;1.65362E+14;8.09995E+14;0;1.79965E+14;1.29359E+14;0;0;2.3376E+13;5.3154E+14;3.5908E+14;0;0;8.77862E+13;1.44217E+14;2.12523E+14;0;0;3.98859E+14;1.55066E+14;2.41815E+14;Billie
