filename;short_id;date2;rhino;species;sample_type;rhino_sex;rhino_origin;rhino_age;sample_id;days_boma;dw;day_exp;dung_rhino;dung_sex;dung_origin;pairing_sex;pairing_origin;pairing_id
Bi1;Bi1;14/7/2024;Billie;Diceros_bicornis;Baseline;f;Thanda;4;A240-12;12;9.156;;;;;;;
Bi10;Bi10;25/8/2024;Billie;Diceros_bicornis;Baseline_2;f;Thanda;4;A240-54;54;10.34;;;;;;;
Bi2;Bi2;16/7/2024;Billie;Diceros_bicornis;Baseline;f;Thanda;4;A240-14;14;8.669;;;;;;;
Bi3;Bi3;19/7/2024;Billie;Diceros_bicornis;Baseline;f;Thanda;4;A240-17;17;8.715;;;;;;;
Bi4;Bi4;21/7/2024;Billie;Diceros_bicornis;Baseline;f;Thanda;4;A240-19;19;9.431;;;;;;;
Bi5;Bi5;23/7/2024;Billie;Diceros_bicornis;Baseline;f;Thanda;4;A240-21;21;8.572;;;;;;;
Bi6;Bi6;20/8/2024;Billie;Diceros_bicornis;Baseline_2;f;Thanda;4;A240-49;49;7.296;;;;;;;
Bi7;Bi7;22/8/2024;Billie;Diceros_bicornis;Baseline_2;f;Thanda;4;A240-51;51;13.805;;;;;;;
Bi8;Bi8;23/8/2024;Billie;Diceros_bicornis;Baseline_2;f;Thanda;4;A240-52;52;9.815;;;;;;;
Bi9;Bi9;24/8/2024;Billie;Diceros_bicornis;Baseline_2;f;Thanda;4;A240-53;53;10.757;;;;;;;
BiJo10;BiJo10;9/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-38;38;9.213;10;Joko;f;Ithala;ff;Th_It;Bil_Joko
BiJo11;BiJo11;10/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-39;39;10.735;11;Joko;f;Ithala;ff;Th_It;Bil_Joko
BiJo12;BiJo12;11/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-40;40;9.749;12;Joko;f;Ithala;ff;Th_It;Bil_Joko
BiMa16;BiMa16;15/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-44;44;9.229;16;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu
BiMa17;BiMa17;16/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-45;45;7.99;17;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu
BiMa18;BiMa18;17/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-46;46;8.673;18;Mafukuzela;f;Ithala;ff;Th_It;Bil_Mafu
BiMs7;BiMs7;6/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-35;35;8.698;7;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha
BiMs8;BiMs8;7/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-36;36;11.97;8;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha
BiMs9;BiMs9;8/8/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-37;37;10.083;9;Mshanelo;m;Ithala;fm;Th_It;Bil_Msha
BiNd1;BiNd1;31/7/2024;Billie;Diceros_bicornis;Experiment;f;Thanda;4;A240-29;29;9.402;1;Ndlebe;f;Somkhanda;ff;Th_So;Bil_Ndle
