compound_names;m/z;Retention_time;Functional_group
Ethane, 1,1-diethoxy-;45;4.421;Ether 
2,2-Diethylacetamide;114.8615;5.57;Amide
2- Octene(Z)-;55.02337;5.98;Alkene
Ethylbenzene;106.0959;7.414;Aromatic hydrocarbon
(-)-β-Citronellene;138.1;9.574;Terpene
Isobutyl isothiocyanate;115;9.814;Isothiocyanate
2-Octene, 3,7,-dimethyl-, (Z)-;137.1;10.149;Alkene
1,6-Octadiene, 5,7-dimethyl-;83.09959;10.401;Diene
5-Hepten-2-one, 6-methyl-;41.00897;10.637;Ketone
Mesitylene;120.1;10.788;Aromatic hydrocarbon
Decane;85.0987;10.923;Alkane
1,3-Hexadiene, 3-ethyl-2,5-dimethyl-;123.1;11.31;Diene
cis-Verbenyl acetate ;95.09962;11.544;Ester
p-Menthen-2-ol;57.09971;11.607;Alcohol
Decane, 2,6,6-trimethyl-;57.1;11.751;Alkane
 6-Methyl-2-heptanone;84;12.124;Ketone
2,6-Dimethyldecane-;71.09891;12.452;Alkane
4-Nonanone, 7-ethyl-;71.09817;12.563;Ketone
Undecane;85.09874;13.283;Alkane
Dodecane;85.1;15.467;Alkane
1-Hexadecanol;97.1;16.881;Alcohol
1,7-Dimethyl-4-(1-methylethyl)cyclodecane;111.1;17.032;Terpene
Tridecane;85.1;17.501;Alkane
Tetradecane;73;18.026;Alkane
 Cyclosativene;204.2;18.966;Terpene
Copaene;161.1;19.106;Terpene
9,12-Tetradecadien-1-ol, (Z,E)-;85.1;19.409;Alcohol
1,5,9-Decatriene, 2,3,5,8-tetramethyl-;95.09933;19.546;Diene
Caryophyllene;133.1;19.953;Terpene
4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,7-octahydronaphtalane;189.2;20.47;Terpene
Farnesan;85.0998;20.539;Terpene
Humulene;121.1;20.573;Terpene
Aromandendrene;91;20.71;Terpene
γ-Muurolene;161.1;20.947;Terpene
Octadecane;85.1;22.905;Alkane
Nonadecane;85.09886;26.048;Alkane
n-Hexadecanoic acid;73;28.341;Fatty acid
